Model name,Model type,Folder,Topo_Precision,Topo_Recall,Topo_F1,Trivial_Precision,Trivial_Recall,Trivial_F1,Macro avg Precision,Macro Avg Recall,Macro Avg F1,Accuracy,SSIM,RMSE,LPIPS
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_0\trained_model,bs=64_perturb=True_lr=1e-04,0.543,1.000,0.668,0.328,0.190,0.212,0.435,0.595,0.440,0.555,0.299,0.455,0.643
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_1\trained_model,bs=64_perturb=True_lr=1e-04,0.807,0.896,0.804,0.901,0.851,0.856,0.854,0.874,0.830,0.841,0.554,0.168,0.168
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_10\trained_model,bs=64_perturb=True_lr=1e-04,0.503,1.000,0.641,0.183,0.102,0.117,0.343,0.551,0.379,0.512,0.268,0.499,0.680
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_11\trained_model,bs=64_perturb=True_lr=1e-04,0.490,1.000,0.632,0.125,0.070,0.080,0.308,0.535,0.356,0.496,0.261,0.515,0.689
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_12\trained_model,bs=64_perturb=True_lr=1e-04,0.492,1.000,0.633,0.133,0.073,0.084,0.312,0.537,0.359,0.498,0.261,0.513,0.687
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_13\trained_model,bs=64_perturb=True_lr=1e-04,0.518,1.000,0.652,0.241,0.135,0.154,0.380,0.567,0.403,0.528,0.278,0.483,0.672
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_14\trained_model,bs=64_perturb=True_lr=1e-04,0.489,1.000,0.631,0.126,0.068,0.079,0.308,0.534,0.355,0.495,0.261,0.515,0.691
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_15\trained_model,bs=64_perturb=True_lr=1e-04,0.615,0.998,0.720,0.998,0.397,0.488,0.807,0.698,0.604,0.651,0.333,0.359,0.391
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_16\trained_model,bs=64_perturb=True_lr=1e-04,0.696,0.998,0.780,0.998,0.627,0.734,0.847,0.813,0.757,0.767,0.435,0.245,0.217
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_17\trained_model,bs=64_perturb=True_lr=1e-04,0.800,0.966,0.845,0.965,0.845,0.892,0.882,0.906,0.868,0.881,0.621,0.125,0.087
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_18\trained_model,bs=64_perturb=True_lr=1e-04,0.587,0.998,0.698,0.534,0.299,0.340,0.560,0.648,0.519,0.605,0.338,0.402,0.589
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_19\trained_model,bs=64_perturb=True_lr=1e-04,0.407,0.096,0.130,0.572,1.000,0.713,0.490,0.548,0.422,0.587,0.209,0.464,0.610
